[0=0, 1=b, 2=2]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=2, 1=a, 2=5]
[0=2, 1=b, 2=2]
[0=2, 1=a, 2=5]
[0=2, 1=a, 2=5]
[0=2, 1=b, 2=2]
[0=2, 1=b, 2=2]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=0, 1=b, 2=2]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=2, 1=a, 2=5]
[0=2, 1=b, 2=2]
[0=2, 1=a, 2=5]
[0=2, 1=a, 2=5]
[0=2, 1=b, 2=2]
[0=2, 1=b, 2=2]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=b, 1=0, 2=c]
[0=c, 1=0, 2=c]
[0=c, 1=0, 2=c]
[0=c, 1=0, 2=c]
[0=b, 1=1, 2=c]
[0=c, 1=1, 2=c]
[0=c, 1=1, 2=c]
[0=c, 1=1, 2=c]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=2]
[0=1, 1=b, 2=2]
[0=2, 1=a, 2=3]
[0=2, 1=b, 2=1]
[0=2, 1=a, 2=1]
[0=2, 1=b, 2=3]
[0=1, 1=a, 2=1]
[0=1, 1=b, 2=1]
[0=1, 1=b, 2=1]
[0=1, 1=b, 2=1]
[0=1, 1=a, 2=1]
[0=1, 1=a, 2=1]
[0=5, 1=a, 2=5]
[0=5, 1=b, 2=5]
[0=0, 1=b, 2=1]
[0=0, 1=a, 2=0]
[0=1, 1=b, 2=0]
[0=1, 1=a, 2=3]
[0=3, 1=b, 2=3]
[0=3, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=b, 2=1]
[0=0, 1=b, 2=1]
[0=1, 1=a, 2=3]
[0=1, 1=a, 2=3]
[0=1, 1=b, 2=0]
[0=1, 1=b, 2=0]
[0=A, 1=a, 2=A]
[0=A, 1=a, 2=A]
[0=A, 1=a, 2=A]
[0=A, 1=b, 2=A]
[0=0, 1=a, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=b, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
[0=0, 1=a, 2=0]
